financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2008-09,QLD,Community health,Government,State and local,1198
2008-09,QLD,Dental services,Government,Australian Government,145
2008-09,QLD,Dental services,Government,State and local,171
2008-09,QLD,Medical expense tax rebate,Government,Australian Government,96
2008-09,QLD,Medical services,Government,Australian Government,3141
2008-09,QLD,Other health practitioners,Government,Australian Government,258
2008-09,QLD,Patient transport services,Government,Australian Government,59
2008-09,QLD,Patient transport services,Government,State and local,546
2008-09,QLD,Private hospitals,Government,Australian Government,815
2008-09,QLD,Private hospitals,Government,State and local,28
2008-09,QLD,Public health,Government,Australian Government,250
2008-09,QLD,Public health,Government,State and local,222
2008-09,QLD,Public hospitals,Government,Australian Government,2895
2008-09,QLD,Public hospitals,Government,State and local,3827
2008-09,QLD,Research,Government,Australian Government,348
2008-09,QLD,Research,Government,State and local,185
2008-09,WA,Administration,Government,Australian Government,178
2008-09,WA,Administration,Government,State and local,35
2008-09,WA,Aids and appliances,Government,Australian Government,46
2008-09,WA,All other medications,Government,Australian Government,35
2008-09,WA,Benefit-paid pharmaceuticals,Government,Australian Government,662
2008-09,WA,Capital expenditure,Government,Australian Government,10
2008-09,WA,Capital expenditure,Government,State and local,362
2008-09,WA,Community health,Government,Australian Government,111
2008-09,WA,Community health,Government,State and local,608
2008-09,WA,Dental services,Government,Australian Government,77
2008-09,WA,Dental services,Government,State and local,70
2008-09,WA,Medical expense tax rebate,Government,Australian Government,25
2008-09,WA,Medical services,Government,Australian Government,1415
2008-09,WA,Other health practitioners,Government,Australian Government,123
2008-09,WA,Patient transport services,Government,Australian Government,36
2008-09,WA,Patient transport services,Government,State and local,111
2008-09,WA,Private hospitals,Government,Australian Government,338
2008-09,WA,Private hospitals,Government,State and local,262
2008-09,WA,Public health,Government,Australian Government,126
2008-09,WA,Public health,Government,State and local,97
2008-09,WA,Public hospitals,Government,Australian Government,1454
2008-09,WA,Public hospitals,Government,State and local,1911
2008-09,WA,Research,Government,Australian Government,253
2008-09,WA,Research,Government,State and local,65
2008-09,SA,Administration,Government,Australian Government,145
2008-09,SA,Administration,Government,State and local,281
2008-09,SA,Aids and appliances,Government,Australian Government,38
2008-09,SA,All other medications,Government,Australian Government,29
2008-09,SA,Benefit-paid pharmaceuticals,Government,Australian Government,627
2008-09,SA,Capital expenditure,Government,Australian Government,9
2008-09,SA,Capital expenditure,Government,State and local,184
2008-09,SA,Community health,Government,Australian Government,67
2008-09,SA,Community health,Government,State and local,413
2008-09,SA,Dental services,Government,Australian Government,69
2008-09,SA,Dental services,Government,State and local,77
2008-09,SA,Medical expense tax rebate,Government,Australian Government,45
2008-09,SA,Medical services,Government,Australian Government,1210
2008-09,SA,Other health practitioners,Government,Australian Government,103
2008-09,SA,Patient transport services,Government,Australian Government,23
2008-09,SA,Patient transport services,Government,State and local,169
2008-09,SA,Private hospitals,Government,Australian Government,215
2008-09,SA,Private hospitals,Government,State and local,5
2008-09,SA,Public health,Government,Australian Government,90
2008-09,SA,Public health,Government,State and local,92
2008-09,SA,Public hospitals,Government,Australian Government,1253
2008-09,SA,Public hospitals,Government,State and local,1549
2008-09,SA,Research,Government,Australian Government,267
2008-09,SA,Research,Government,State and local,26
2008-09,TAS,Administration,Government,Australian Government,49
2008-09,TAS,Aids and appliances,Government,Australian Government,11
2008-09,TAS,All other medications,Government,Australian Government,10
2008-09,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,200
2008-09,TAS,Capital expenditure,Government,Australian Government,4
2008-09,TAS,Capital expenditure,Government,State and local,28
2008-09,TAS,Community health,Government,Australian Government,17
2008-09,TAS,Community health,Government,State and local,147
2008-09,TAS,Dental services,Government,Australian Government,13
2008-09,TAS,Dental services,Government,State and local,27
2008-09,TAS,Medical expense tax rebate,Government,Australian Government,7
2008-09,TAS,Medical services,Government,Australian Government,361
2008-09,TAS,Other health practitioners,Government,Australian Government,33
2008-09,TAS,Patient transport services,Government,Australian Government,6
2008-09,TAS,Patient transport services,Government,State and local,54
2008-09,TAS,Private hospitals,Government,Australian Government,75
2008-09,TAS,Private hospitals,Government,State and local,14
2008-09,TAS,Public health,Government,Australian Government,40
2008-09,TAS,Public health,Government,State and local,27
2008-09,TAS,Public hospitals,Government,Australian Government,416
2008-09,TAS,Public hospitals,Government,State and local,343
2008-09,TAS,Research,Government,Australian Government,47
2008-09,TAS,Research,Government,State and local,11
2008-09,ACT,Administration,Government,Australian Government,78
2008-09,ACT,Aids and appliances,Government,Australian Government,7
2008-09,ACT,All other medications,Government,Australian Government,5
2008-09,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,91
2008-09,ACT,Capital expenditure,Government,Australian Government,2
2008-09,ACT,Capital expenditure,Government,State and local,56
2008-09,ACT,Community health,Government,Australian Government,9
2008-09,ACT,Community health,Government,State and local,131
2008-09,ACT,Dental services,Government,Australian Government,12
2008-09,ACT,Dental services,Government,State and local,11
2008-09,ACT,Medical expense tax rebate,Government,Australian Government,16
2008-09,ACT,Medical services,Government,Australian Government,215
2008-09,ACT,Other health practitioners,Government,Australian Government,31
2008-09,ACT,Patient transport services,Government,Australian Government,5
2008-09,ACT,Patient transport services,Government,State and local,12
2008-09,ACT,Private hospitals,Government,Australian Government,37
2008-09,ACT,Private hospitals,Government,State and local,1
2008-09,ACT,Public health,Government,Australian Government,24
2008-09,ACT,Public health,Government,State and local,29
2008-09,ACT,Public hospitals,Government,Australian Government,234
2008-09,ACT,Public hospitals,Government,State and local,499
2008-09,ACT,Research,Government,Australian Government,176
2008-09,ACT,Research,Government,State and local,28
2008-09,NT,Administration,Government,Australian Government,40
2008-09,NT,Aids and appliances,Government,Australian Government,3
2008-09,NT,All other medications,Government,Australian Government,6
2008-09,NT,Benefit-paid pharmaceuticals,Government,Australian Government,46
2008-09,NT,Capital expenditure,Government,Australian Government,6
2008-09,NT,Capital expenditure,Government,State and local,14
2008-09,NT,Community health,Government,Australian Government,162
2008-09,NT,Community health,Government,State and local,233
2008-09,NT,Dental services,Government,Australian Government,3
2008-09,NT,Dental services,Government,State and local,17
2008-09,NT,Medical expense tax rebate,Government,Australian Government,2
2008-09,NT,Medical services,Government,Australian Government,109
2008-09,NT,Other health practitioners,Government,Australian Government,7
2008-09,NT,Patient transport services,Government,Australian Government,14
2008-09,NT,Patient transport services,Government,State and local,33
2008-09,NT,Private hospitals,Government,Australian Government,10
2008-09,NT,Private hospitals,Government,State and local,1
2008-09,NT,Public health,Government,Australian Government,25
2008-09,NT,Public health,Government,State and local,76
2008-09,NT,Public hospitals,Government,Australian Government,183
2008-09,NT,Public hospitals,Government,State and local,320
2008-09,NT,Research,Government,Australian Government,13
2008-09,NT,Research,Government,State and local,12
2009-10,NSW,Administration,Government,Australian Government,504
2009-10,NSW,Aids and appliances,Government,Australian Government,188
2009-10,NSW,All other medications,Government,Australian Government,128
2009-10,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2754
2009-10,NSW,Capital expenditure,Government,Australian Government,40
2009-10,NSW,Capital expenditure,Government,State and local,672
2009-10,NSW,Community health,Government,Australian Government,209
2009-10,NSW,Community health,Government,State and local,1164
2009-10,NSW,Dental services,Government,Australian Government,578
2009-10,NSW,Dental services,Government,State and local,194
2009-10,NSW,Medical expense tax rebate,Government,Australian Government,216
2009-10,NSW,Medical services,Government,Australian Government,5977
2009-10,NSW,Other health practitioners,Government,Australian Government,485
2009-10,NSW,Patient transport services,Government,Australian Government,107
2009-10,NSW,Patient transport services,Government,State and local,484
2009-10,NSW,Private hospitals,Government,Australian Government,957
2009-10,NSW,Public health,Government,Australian Government,293
2009-10,NSW,Public health,Government,State and local,224
2009-10,NSW,Public hospitals,Government,Australian Government,4857
2009-10,NSW,Public hospitals,Government,State and local,6419
2009-10,NSW,Research,Government,Australian Government,1150
2009-10,NSW,Research,Government,State and local,168
2009-10,VIC,Administration,Government,Australian Government,369
2009-10,VIC,Aids and appliances,Government,Australian Government,130
2009-10,VIC,All other medications,Government,Australian Government,89
2009-10,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1999
2009-10,VIC,Capital expenditure,Government,Australian Government,27
2009-10,VIC,Capital expenditure,Government,State and local,160
2009-10,VIC,Community health,Government,Australian Government,121
2009-10,VIC,Community health,Government,State and local,838
2009-10,VIC,Dental services,Government,Australian Government,280
2009-10,VIC,Dental services,Government,State and local,131
2009-10,VIC,Medical expense tax rebate,Government,Australian Government,148
2009-10,VIC,Medical services,Government,Australian Government,4264
2009-10,VIC,Other health practitioners,Government,Australian Government,369
2009-10,VIC,Patient transport services,Government,Australian Government,48
2009-10,VIC,Patient transport services,Government,State and local,331
2009-10,VIC,Private hospitals,Government,Australian Government,850
2009-10,VIC,Private hospitals,Government,State and local,76
2009-10,VIC,Public health,Government,Australian Government,235
2009-10,VIC,Public health,Government,State and local,181
2009-10,VIC,Public hospitals,Government,Australian Government,3386
2009-10,VIC,Public hospitals,Government,State and local,4693
2009-10,VIC,Research,Government,Australian Government,1107
2009-10,VIC,Research,Government,State and local,225
2009-10,QLD,Administration,Government,Australian Government,326
2009-10,QLD,Administration,Government,State and local,145
2009-10,QLD,Aids and appliances,Government,Australian Government,110
2009-10,QLD,All other medications,Government,Australian Government,74
2009-10,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1575
2009-10,QLD,Capital expenditure,Government,Australian Government,22
2009-10,QLD,Capital expenditure,Government,State and local,1109
2009-10,QLD,Community health,Government,Australian Government,193
2009-10,QLD,Community health,Government,State and local,1434
2009-10,QLD,Dental services,Government,Australian Government,195
2009-10,QLD,Dental services,Government,State and local,168
2009-10,QLD,Medical expense tax rebate,Government,Australian Government,106
2009-10,QLD,Medical services,Government,Australian Government,3349
2009-10,QLD,Other health practitioners,Government,Australian Government,288
2009-10,QLD,Patient transport services,Government,Australian Government,57
2009-10,QLD,Patient transport services,Government,State and local,556
2009-10,QLD,Private hospitals,Government,Australian Government,898
2009-10,QLD,Private hospitals,Government,State and local,25
2009-10,QLD,Public health,Government,Australian Government,194
2009-10,QLD,Public health,Government,State and local,226
2009-10,QLD,Public hospitals,Government,Australian Government,2731
2009-10,QLD,Public hospitals,Government,State and local,4286
2009-10,QLD,Research,Government,Australian Government,373
2009-10,QLD,Research,Government,State and local,203
2009-10,WA,Administration,Government,Australian Government,161
2009-10,WA,Administration,Government,State and local,22
2009-10,WA,Aids and appliances,Government,Australian Government,57
2009-10,WA,All other medications,Government,Australian Government,37
2009-10,WA,Benefit-paid pharmaceuticals,Government,Australian Government,703
2009-10,WA,Capital expenditure,Government,Australian Government,13
2009-10,WA,Capital expenditure,Government,State and local,489
2009-10,WA,Community health,Government,Australian Government,122
2009-10,WA,Community health,Government,State and local,581
2009-10,WA,Dental services,Government,Australian Government,89
2009-10,WA,Dental services,Government,State and local,66
2009-10,WA,Medical expense tax rebate,Government,Australian Government,27
2009-10,WA,Medical services,Government,Australian Government,1500
2009-10,WA,Other health practitioners,Government,Australian Government,135
2009-10,WA,Patient transport services,Government,Australian Government,34
2009-10,WA,Patient transport services,Government,State and local,122
2009-10,WA,Private hospitals,Government,Australian Government,370
2009-10,WA,Private hospitals,Government,State and local,275
2009-10,WA,Public health,Government,Australian Government,99
2009-10,WA,Public health,Government,State and local,98
2009-10,WA,Public hospitals,Government,Australian Government,1416
2009-10,WA,Public hospitals,Government,State and local,1932
2009-10,WA,Research,Government,Australian Government,272
2009-10,WA,Research,Government,State and local,69
2009-10,SA,Administration,Government,Australian Government,128
2009-10,SA,Administration,Government,State and local,284
2009-10,SA,Aids and appliances,Government,Australian Government,46
2009-10,SA,All other medications,Government,Australian Government,33
2009-10,SA,Benefit-paid pharmaceuticals,Government,Australian Government,677
2009-10,SA,Capital expenditure,Government,Australian Government,14
2009-10,SA,Capital expenditure,Government,State and local,265
2009-10,SA,Community health,Government,Australian Government,73
2009-10,SA,Community health,Government,State and local,457
2009-10,SA,Dental services,Government,Australian Government,101
2009-10,SA,Dental services,Government,State and local,53
2009-10,SA,Medical expense tax rebate,Government,Australian Government,50
2009-10,SA,Medical services,Government,Australian Government,1286
2009-10,SA,Other health practitioners,Government,Australian Government,114
2009-10,SA,Patient transport services,Government,Australian Government,23
2009-10,SA,Patient transport services,Government,State and local,147
2009-10,SA,Private hospitals,Government,Australian Government,232
2009-10,SA,Private hospitals,Government,State and local,5
2009-10,SA,Public health,Government,Australian Government,71
2009-10,SA,Public health,Government,State and local,111
2009-10,SA,Public hospitals,Government,Australian Government,1183
2009-10,SA,Public hospitals,Government,State and local,1697
2009-10,SA,Research,Government,Australian Government,293
2009-10,SA,Research,Government,State and local,30
2009-10,TAS,Administration,Government,Australian Government,46
2009-10,TAS,Aids and appliances,Government,Australian Government,14
2009-10,TAS,All other medications,Government,Australian Government,10
2009-10,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,216
2009-10,TAS,Capital expenditure,Government,Australian Government,6
2009-10,TAS,Capital expenditure,Government,State and local,35
2009-10,TAS,Community health,Government,Australian Government,19
2009-10,TAS,Community health,Government,State and local,130
2009-10,TAS,Dental services,Government,Australian Government,15
2009-10,TAS,Dental services,Government,State and local,27
2009-10,TAS,Medical expense tax rebate,Government,Australian Government,7
2009-10,TAS,Medical services,Government,Australian Government,413
2009-10,TAS,Other health practitioners,Government,Australian Government,35
2009-10,TAS,Patient transport services,Government,Australian Government,5
2009-10,TAS,Patient transport services,Government,State and local,52
2009-10,TAS,Private hospitals,Government,Australian Government,81
2009-10,TAS,Private hospitals,Government,State and local,13
2009-10,TAS,Public health,Government,Australian Government,31
2009-10,TAS,Public health,Government,State and local,29
2009-10,TAS,Public hospitals,Government,Australian Government,421
2009-10,TAS,Public hospitals,Government,State and local,373
2009-10,TAS,Research,Government,Australian Government,55
2009-10,TAS,Research,Government,State and local,14
2009-10,ACT,Administration,Government,Australian Government,63
2009-10,ACT,Aids and appliances,Government,Australian Government,8
2009-10,ACT,All other medications,Government,Australian Government,6
2009-10,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,99
2009-10,ACT,Capital expenditure,Government,Australian Government,4
2009-10,ACT,Capital expenditure,Government,State and local,80
2009-10,ACT,Community health,Government,Australian Government,11
2009-10,ACT,Community health,Government,State and local,146
2009-10,ACT,Dental services,Government,Australian Government,14
2009-10,ACT,Dental services,Government,State and local,11
2009-10,ACT,Medical expense tax rebate,Government,Australian Government,3
2009-10,ACT,Medical services,Government,Australian Government,220
2009-10,ACT,Other health practitioners,Government,Australian Government,28
2009-10,ACT,Patient transport services,Government,Australian Government,5
2009-10,ACT,Patient transport services,Government,State and local,23
2009-10,ACT,Private hospitals,Government,Australian Government,41
2009-10,ACT,Private hospitals,Government,State and local,0
2009-10,ACT,Public health,Government,Australian Government,18
2009-10,ACT,Public health,Government,State and local,29
2009-10,ACT,Public hospitals,Government,Australian Government,219
2009-10,ACT,Public hospitals,Government,State and local,551
2009-10,ACT,Research,Government,Australian Government,180
2009-10,ACT,Research,Government,State and local,28
2009-10,NT,Administration,Government,Australian Government,36
2009-10,NT,Aids and appliances,Government,Australian Government,4
2009-10,NT,All other medications,Government,Australian Government,7
2009-10,NT,Benefit-paid pharmaceuticals,Government,Australian Government,50
2009-10,NT,Capital expenditure,Government,Australian Government,10
2009-10,NT,Capital expenditure,Government,State and local,43
2009-10,NT,Community health,Government,Australian Government,164
2009-10,NT,Community health,Government,State and local,175
2009-10,NT,Dental services,Government,Australian Government,3
2009-10,NT,Dental services,Government,State and local,3
2009-10,NT,Medical expense tax rebate,Government,Australian Government,18
2009-10,NT,Medical services,Government,Australian Government,124
2009-10,NT,Other health practitioners,Government,Australian Government,7
2009-10,NT,Patient transport services,Government,Australian Government,13
2009-10,NT,Patient transport services,Government,State and local,33
2009-10,NT,Private hospitals,Government,Australian Government,11
2009-10,NT,Private hospitals,Government,State and local,1
2009-10,NT,Public health,Government,Australian Government,32
2009-10,NT,Public health,Government,State and local,73
2009-10,NT,Public hospitals,Government,Australian Government,191
2009-10,NT,Public hospitals,Government,State and local,311
2009-10,NT,Research,Government,Australian Government,13
2009-10,NT,Research,Government,State and local,47
2010-11,NSW,Administration,Government,Australian Government,196
2010-11,NSW,Administration,Government,State and local,10
2010-11,NSW,Aids and appliances,Government,Australian Government,205
2010-11,NSW,All other medications,Government,Australian Government,175
2010-11,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2795
2010-11,NSW,Capital expenditure,Government,Australian Government,41
2010-11,NSW,Capital expenditure,Government,State and local,818
2010-11,NSW,Community health,Government,Australian Government,237
2010-11,NSW,Community health,Government,State and local,1370
2010-11,NSW,Dental services,Government,Australian Government,613
2010-11,NSW,Dental services,Government,State and local,203
2010-11,NSW,Medical expense tax rebate,Government,Australian Government,185
2010-11,NSW,Medical services,Government,Australian Government,6134
2010-11,NSW,Other health practitioners,Government,Australian Government,502
2010-11,NSW,Patient transport services,Government,Australian Government,101
2010-11,NSW,Patient transport services,Government,State and local,516
2010-11,NSW,Private hospitals,Government,Australian Government,1000
2010-11,NSW,Public health,Government,Australian Government,321
2010-11,NSW,Public health,Government,State and local,191
2010-11,NSW,Public hospitals,Government,Australian Government,5285
2010-11,NSW,Public hospitals,Government,State and local,6386
2010-11,NSW,Research,Government,Australian Government,986
2010-11,NSW,Research,Government,State and local,175
2010-11,VIC,Administration,Government,Australian Government,153
2010-11,VIC,Aids and appliances,Government,Australian Government,141
2010-11,VIC,All other medications,Government,Australian Government,123
2010-11,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,2028
2010-11,VIC,Capital expenditure,Government,Australian Government,28
2010-11,VIC,Capital expenditure,Government,State and local,507
2010-11,VIC,Community health,Government,Australian Government,141
2010-11,VIC,Community health,Government,State and local,544
2010-11,VIC,Dental services,Government,Australian Government,314
2010-11,VIC,Dental services,Government,State and local,142
2010-11,VIC,Medical expense tax rebate,Government,Australian Government,125
2010-11,VIC,Medical services,Government,Australian Government,4444
2010-11,VIC,Other health practitioners,Government,Australian Government,385
2010-11,VIC,Patient transport services,Government,Australian Government,47
2010-11,VIC,Patient transport services,Government,State and local,359
2010-11,VIC,Private hospitals,Government,Australian Government,871
2010-11,VIC,Private hospitals,Government,State and local,80
2010-11,VIC,Public health,Government,Australian Government,262
2010-11,VIC,Public health,Government,State and local,183
2010-11,VIC,Public hospitals,Government,Australian Government,3879
2010-11,VIC,Public hospitals,Government,State and local,5104
2010-11,VIC,Research,Government,Australian Government,1142
2010-11,VIC,Research,Government,State and local,197
2010-11,QLD,Administration,Government,Australian Government,126
2010-11,QLD,Administration,Government,State and local,138
2010-11,QLD,Aids and appliances,Government,Australian Government,122
2010-11,QLD,All other medications,Government,Australian Government,105
2010-11,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1592
2010-11,QLD,Capital expenditure,Government,Australian Government,23
2010-11,QLD,Capital expenditure,Government,State and local,1495
2010-11,QLD,Community health,Government,Australian Government,199
2010-11,QLD,Community health,Government,State and local,1491
2010-11,QLD,Dental services,Government,Australian Government,256
2010-11,QLD,Dental services,Government,State and local,197
2010-11,QLD,Medical expense tax rebate,Government,Australian Government,89
2010-11,QLD,Medical services,Government,Australian Government,3589
2010-11,QLD,Other health practitioners,Government,Australian Government,304
2010-11,QLD,Patient transport services,Government,Australian Government,56
2010-11,QLD,Patient transport services,Government,State and local,646
2010-11,QLD,Private hospitals,Government,Australian Government,913
2010-11,QLD,Private hospitals,Government,State and local,27
2010-11,QLD,Public health,Government,Australian Government,217
2010-11,QLD,Public health,Government,State and local,160
2010-11,QLD,Public hospitals,Government,Australian Government,3050
2010-11,QLD,Public hospitals,Government,State and local,3901
2010-11,QLD,Research,Government,Australian Government,473
2010-11,QLD,Research,Government,State and local,237
2010-11,WA,Administration,Government,Australian Government,70
2010-11,WA,Administration,Government,State and local,93
2010-11,WA,Aids and appliances,Government,Australian Government,64
2010-11,WA,All other medications,Government,Australian Government,54
2010-11,WA,Benefit-paid pharmaceuticals,Government,Australian Government,732
2010-11,WA,Capital expenditure,Government,Australian Government,13
2010-11,WA,Capital expenditure,Government,State and local,819
2010-11,WA,Community health,Government,Australian Government,162
2010-11,WA,Community health,Government,State and local,596
2010-11,WA,Dental services,Government,Australian Government,98
2010-11,WA,Dental services,Government,State and local,71
2010-11,WA,Medical expense tax rebate,Government,Australian Government,23
2010-11,WA,Medical services,Government,Australian Government,1531
2010-11,WA,Other health practitioners,Government,Australian Government,139
2010-11,WA,Patient transport services,Government,Australian Government,36
2010-11,WA,Patient transport services,Government,State and local,153
2010-11,WA,Private hospitals,Government,Australian Government,401
2010-11,WA,Private hospitals,Government,State and local,335
2010-11,WA,Public health,Government,Australian Government,116
2010-11,WA,Public health,Government,State and local,110
2010-11,WA,Public hospitals,Government,Australian Government,1573
2010-11,WA,Public hospitals,Government,State and local,2068
2010-11,WA,Research,Government,Australian Government,256
2010-11,WA,Research,Government,State and local,97
2010-11,SA,Administration,Government,Australian Government,49
2010-11,SA,Administration,Government,State and local,220
2010-11,SA,Aids and appliances,Government,Australian Government,50
2010-11,SA,All other medications,Government,Australian Government,43
2010-11,SA,Benefit-paid pharmaceuticals,Government,Australian Government,678
2010-11,SA,Capital expenditure,Government,Australian Government,12
2010-11,SA,Capital expenditure,Government,State and local,256
2010-11,SA,Community health,Government,Australian Government,83
2010-11,SA,Community health,Government,State and local,572
2010-11,SA,Dental services,Government,Australian Government,121
2010-11,SA,Dental services,Government,State and local,61
2010-11,SA,Medical expense tax rebate,Government,Australian Government,43
2010-11,SA,Medical services,Government,Australian Government,1350
2010-11,SA,Other health practitioners,Government,Australian Government,117
2010-11,SA,Patient transport services,Government,Australian Government,25
2010-11,SA,Patient transport services,Government,State and local,139
2010-11,SA,Private hospitals,Government,Australian Government,239
2010-11,SA,Private hospitals,Government,State and local,5
2010-11,SA,Public health,Government,Australian Government,89
2010-11,SA,Public health,Government,State and local,79
2010-11,SA,Public hospitals,Government,Australian Government,1230
2010-11,SA,Public hospitals,Government,State and local,1778
2010-11,SA,Research,Government,Australian Government,285
2010-11,SA,Research,Government,State and local,25
2010-11,TAS,Administration,Government,Australian Government,15
2010-11,TAS,Aids and appliances,Government,Australian Government,15
2010-11,TAS,All other medications,Government,Australian Government,13
2010-11,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,222
2010-11,TAS,Capital expenditure,Government,Australian Government,5
2010-11,TAS,Capital expenditure,Government,State and local,131
2010-11,TAS,Community health,Government,Australian Government,21
2010-11,TAS,Community health,Government,State and local,121
2010-11,TAS,Dental services,Government,Australian Government,17
2010-11,TAS,Dental services,Government,State and local,24
2010-11,TAS,Medical expense tax rebate,Government,Australian Government,6
2010-11,TAS,Medical services,Government,Australian Government,482
2010-11,TAS,Other health practitioners,Government,Australian Government,35
2010-11,TAS,Patient transport services,Government,Australian Government,8
2010-11,TAS,Patient transport services,Government,State and local,60
2010-11,TAS,Private hospitals,Government,Australian Government,81
2010-11,TAS,Private hospitals,Government,State and local,11
2010-11,TAS,Public health,Government,Australian Government,28
2010-11,TAS,Public health,Government,State and local,25
2010-11,TAS,Public hospitals,Government,Australian Government,368
2010-11,TAS,Public hospitals,Government,State and local,511
2010-11,TAS,Research,Government,Australian Government,41
2010-11,TAS,Research,Government,State and local,8
2010-11,ACT,Administration,Government,Australian Government,51
2010-11,ACT,Administration,Government,State and local,0
2010-11,ACT,Aids and appliances,Government,Australian Government,9
2010-11,ACT,All other medications,Government,Australian Government,7
2010-11,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,102
2010-11,ACT,Capital expenditure,Government,Australian Government,4
2010-11,ACT,Capital expenditure,Government,State and local,124
2010-11,ACT,Community health,Government,Australian Government,24
2010-11,ACT,Community health,Government,State and local,147
2010-11,ACT,Dental services,Government,Australian Government,16
2010-11,ACT,Dental services,Government,State and local,11
2010-11,ACT,Medical expense tax rebate,Government,Australian Government,2
2010-11,ACT,Medical services,Government,Australian Government,259
2010-11,ACT,Other health practitioners,Government,Australian Government,17
2010-11,ACT,Other health practitioners,Government,State and local,1
2010-11,ACT,Patient transport services,Government,Australian Government,5
2010-11,ACT,Patient transport services,Government,State and local,17
2010-11,ACT,Private hospitals,Government,Australian Government,41
2010-11,ACT,Private hospitals,Government,State and local,1
2010-11,ACT,Public health,Government,Australian Government,18
2010-11,ACT,Public health,Government,State and local,32
2010-11,ACT,Public hospitals,Government,Australian Government,248
2010-11,ACT,Public hospitals,Government,State and local,587
2010-11,ACT,Research,Government,Australian Government,170
2010-11,ACT,Research,Government,State and local,37
2010-11,NT,Administration,Government,Australian Government,4
2010-11,NT,Administration,Government,State and local,0
2010-11,NT,Aids and appliances,Government,Australian Government,5
2010-11,NT,All other medications,Government,Australian Government,10
2010-11,NT,Benefit-paid pharmaceuticals,Government,Australian Government,51
2010-11,NT,Capital expenditure,Government,Australian Government,8
2010-11,NT,Capital expenditure,Government,State and local,54
2010-11,NT,Community health,Government,Australian Government,165
2010-11,NT,Community health,Government,State and local,269
2010-11,NT,Dental services,Government,Australian Government,4
2010-11,NT,Dental services,Government,State and local,8
2010-11,NT,Medical expense tax rebate,Government,Australian Government,15
2010-11,NT,Medical services,Government,Australian Government,117
2010-11,NT,Other health practitioners,Government,Australian Government,7
2010-11,NT,Other health practitioners,Government,State and local,5
2010-11,NT,Patient transport services,Government,Australian Government,12
2010-11,NT,Patient transport services,Government,State and local,28
2010-11,NT,Private hospitals,Government,Australian Government,13
2010-11,NT,Private hospitals,Government,State and local,1
2010-11,NT,Public health,Government,Australian Government,35
2010-11,NT,Public health,Government,State and local,80
2010-11,NT,Public hospitals,Government,Australian Government,179
2010-11,NT,Public hospitals,Government,State and local,413
2010-11,NT,Research,Government,Australian Government,34
2010-11,NT,Research,Government,State and local,20
2011-12,NSW,Administration,Government,Australian Government,300
2011-12,NSW,Administration,Government,State and local,9
2011-12,NSW,Aids and appliances,Government,Australian Government,211
2011-12,NSW,All other medications,Government,Australian Government,178
2011-12,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2842
2011-12,NSW,Capital expenditure,Government,Australian Government,105
2011-12,NSW,Capital expenditure,Government,State and local,765
2011-12,NSW,Community health,Government,Australian Government,267
2011-12,NSW,Community health,Government,State and local,1521
2011-12,NSW,Dental services,Government,Australian Government,660
2011-12,NSW,Dental services,Government,State and local,190
2011-12,NSW,Medical expense tax rebate,Government,Australian Government,206
2011-12,NSW,Medical services,Government,Australian Government,6400
2011-12,NSW,Other health practitioners,Government,Australian Government,506
2011-12,NSW,Patient transport services,Government,Australian Government,130
2011-12,NSW,Patient transport services,Government,State and local,513
2011-12,NSW,Private hospitals,Government,Australian Government,993
2011-12,NSW,Public health,Government,Australian Government,452
2011-12,NSW,Public health,Government,State and local,110
2011-12,NSW,Public hospitals,Government,Australian Government,5326
2011-12,NSW,Public hospitals,Government,State and local,6838
2011-12,NSW,Research,Government,Australian Government,1065
2011-12,NSW,Research,Government,State and local,219
2011-12,VIC,Administration,Government,Australian Government,224
2011-12,VIC,Aids and appliances,Government,Australian Government,148
2011-12,VIC,All other medications,Government,Australian Government,129
2011-12,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,2065
2011-12,VIC,Capital expenditure,Government,Australian Government,73
2011-12,VIC,Capital expenditure,Government,State and local,626
2011-12,VIC,Community health,Government,Australian Government,143
2011-12,VIC,Community health,Government,State and local,548
2011-12,VIC,Dental services,Government,Australian Government,342
2011-12,VIC,Dental services,Government,State and local,153
2011-12,VIC,Medical expense tax rebate,Government,Australian Government,141
2011-12,VIC,Medical services,Government,Australian Government,4639
2011-12,VIC,Other health practitioners,Government,Australian Government,390
2011-12,VIC,Patient transport services,Government,Australian Government,42
2011-12,VIC,Patient transport services,Government,State and local,405
2011-12,VIC,Private hospitals,Government,Australian Government,839
2011-12,VIC,Private hospitals,Government,State and local,82
